bone,species,side,fish,n_lm,scale,LM1_X,LM1_Y,LM2_X,LM2_Y,LM3_X,LM3_Y,LM4_X,LM4_Y,LM5_X,LM5_Y,LM6_X,LM6_Y,LM7_X,LM7_Y,LM8_X,LM8_Y,LM9_X,LM9_Y,LM10_X,LM10_Y,LM11_X,LM11_Y,LM12_X,LM12_Y,LM13_X,LM13_Y,LM14_X,LM14_Y,LM15_X,LM15_Y,LM16_X,LM16_Y,LM17_X,LM17_Y,LM18_X,LM18_Y,LM19_X,LM19_Y,LM20_X,LM20_Y,LM21_X,LM21_Y,LM22_X,LM22_Y,LM23_X,LM23_Y,LM24_X,LM24_Y,LM25_X,LM25_Y,LM26_X,LM26_Y,LM27_X,LM27_Y,LM28_X,LM28_Y,LM29_X,LM29_Y,LM30_X,LM30_Y,LM31_X,LM31_Y,LM32_X,LM32_Y,LM33_X,LM33_Y,LM34_X,LM34_Y,LM35_X,LM35_Y,LM36_X,LM36_Y
Subopercle,Acipenser gueldenstaedtii,L,5,8,0.003564,1722.0,974.0,2026.0,864.0,2674.0,970.0,2657.0,190.0,2093.0,77.0,1453.0,521.0,2098.0,503.0,2103.0,683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,L,6,8,0.003595,1225.0,986.0,1730.0,855.0,2430.0,1158.0,2417.0,244.0,1890.0,93.0,1107.0,450.0,1859.0,538.0,1843.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,L,7,8,0.003672,1288.0,1907.0,2138.0,1597.0,3179.0,1912.0,3170.0,279.0,2282.0,121.0,891.0,1070.0,2337.0,881.0,2322.0,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,L,8,8,0.003699,1033.0,1523.0,1639.0,1493.0,2679.0,2179.0,2993.0,748.0,2171.0,170.0,796.0,640.0,1868.0,1047.0,1804.0,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,1,8,0.003533,132.0,625.0,362.0,566.0,812.0,735.0,802.0,156.0,465.0,78.0,43.0,302.0,438.0,389.0,429.0,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,2,8,0.003584,245.0,604.0,449.0,517.0,869.0,650.0,834.0,165.0,565.0,96.0,174.0,326.0,569.0,371.0,547.0,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,3,8,0.00361,207.0,756.0,434.0,570.0,861.0,748.0,815.0,139.0,452.0,64.0,42.0,367.0,454.0,369.0,456.0,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,4,8,0.00361,159.0,514.0,360.0,500.0,750.0,528.0,690.0,60.0,404.0,31.0,73.0,280.0,402.0,305.0,397.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,5,8,0.00358,353.0,936.0,619.0,882.0,1241.0,1023.0,1306.0,213.0,749.0,54.0,132.0,444.0,701.0,539.0,675.0,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,6,8,0.003613,198.0,980.0,585.0,883.0,1267.0,1107.0,1226.0,285.0,779.0,59.0,46.0,429.0,717.0,520.0,702.0,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser gueldenstaedtii,R,7,8,0.003688,457.0,1828.0,1293.0,1542.0,2442.0,1897.0,2370.0,283.0,1579.0,95.0,138.0,827.0,1568.0,846.0,1563.0,1329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,L,1,8,0.003682,1254.0,1128.0,1726.0,958.0,2419.0,1244.0,2476.0,150.0,1880.0,18.0,1199.0,510.0,1835.0,585.0,1765.0,762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,L,2,8,0.003647,1607.0,555.0,1824.0,491.0,2193.0,595.0,2227.0,116.0,1911.0,82.0,1549.0,322.0,1927.0,327.0,1917.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,L,3,8,0.003602,1469.0,668.0,1779.0,555.0,2179.0,763.0,2142.0,81.0,1795.0,52.0,1313.0,333.0,1778.0,362.0,1777.0,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,L,4,8,0.002475,1083.0,865.0,1524.0,807.0,2077.0,1125.0,2153.0,266.0,1694.0,132.0,980.0,481.0,1665.0,547.0,1628.0,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,L,5,8,0.002897,339.0,870.0,616.0,648.0,1094.0,693.0,1023.0,115.0,566.0,128.0,144.0,464.0,567.0,451.0,592.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,R,1,8,0.003659,124.0,1203.0,651.0,982.0,1318.0,1149.0,1317.0,231.0,671.0,84.0,34.0,579.0,672.0,638.0,655.0,802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,R,2,8,0.003645,139.0,498.0,360.0,454.0,711.0,574.0,781.0,133.0,465.0,65.0,79.0,263.0,428.0,288.0,428.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,R,3,8,0.003667,295.0,728.0,480.0,623.0,884.0,873.0,946.0,222.0,490.0,66.0,74.0,335.0,496.0,413.0,499.0,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,R,4,8,0.00245,233.0,918.0,680.0,806.0,1303.0,998.0,1225.0,119.0,704.0,132.0,110.0,465.0,755.0,564.0,757.0,631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser ruthenus,R,5,8,0.002869,774.0,732.0,1085.0,595.0,1551.0,888.0,1685.0,256.0,1183.0,27.0,706.0,302.0,1159.0,397.0,1150.0,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser stellatus,L,102,8,0.003619,1473.0,1136.0,1886.0,1012.0,2530.0,1306.0,2582.0,188.0,2065.0,58.0,1375.0,543.0,2022.0,624.0,2009.0,893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser stellatus,L,116,8,0.003636,1204.0,1150.0,1701.0,989.0,2392.0,1252.0,2326.0,150.0,1808.0,74.0,1126.0,601.0,1786.0,634.0,1773.0,802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser stellatus,R,102,8,0.003742,73.0,1081.0,496.0,1006.0,1124.0,1312.0,1178.0,177.0,670.0,87.0,46.0,580.0,645.0,652.0,632.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser stellatus,R,103,8,0.003643,413.0,1079.0,767.0,933.0,1278.0,1132.0,1262.0,154.0,783.0,100.0,192.0,595.0,795.0,618.0,802.0,812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Acipenser stellatus,R,116,8,0.003674,257.0,1138.0,708.0,982.0,1393.0,1325.0,1398.0,148.0,825.0,64.0,166.0,618.0,840.0,621.0,830.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Bester,L,1,8,0.003547,1469.0,624.0,1871.0,569.0,2356.0,772.0,2373.0,150.0,1916.0,103.0,1452.0,434.0,1907.0,347.0,1905.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Bester,L,2,8,0.003578,1256.0,709.0,1535.0,566.0,2004.0,837.0,2039.0,257.0,1578.0,90.0,1104.0,451.0,1546.0,314.0,1547.0,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Bester,R,1,8,0.003563,157.0,697.0,606.0,598.0,1083.0,802.0,1086.0,160.0,599.0,133.0,146.0,445.0,590.0,344.0,598.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Bester,R,2,8,0.003511,344.0,783.0,514.0,675.0,912.0,926.0,971.0,271.0,520.0,122.0,102.0,390.0,510.0,491.0,512.0,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,L,1,8,0.003586,1205.0,744.0,1632.0,581.0,2284.0,884.0,2225.0,252.0,1698.0,56.0,1152.0,341.0,1684.0,329.0,1682.0,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,L,2,8,0.00365,1452.0,561.0,1786.0,439.0,2161.0,722.0,2161.0,159.0,1841.0,30.0,1380.0,314.0,1813.0,262.0,1804.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,L,3,8,0.00367,1038.0,595.0,1453.0,497.0,1911.0,891.0,1930.0,199.0,1560.0,65.0,945.0,430.0,1512.0,277.0,1505.0,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,L,4,8,0.003657,861.0,468.0,1295.0,435.0,1678.0,856.0,1758.0,233.0,1404.0,62.0,793.0,322.0,1330.0,278.0,1322.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,R,1,8,0.003638,161.0,710.0,591.0,551.0,1211.0,843.0,1110.0,153.0,622.0,51.0,36.0,409.0,594.0,339.0,591.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,R,2,8,0.00359,190.0,673.0,452.0,486.0,961.0,693.0,913.0,183.0,545.0,92.0,94.0,512.0,457.0,319.0,466.0,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,R,3,8,0.003618,200.0,679.0,537.0,568.0,1043.0,851.0,1038.0,215.0,670.0,120.0,89.0,481.0,614.0,317.0,609.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Huso huso,R,4,8,0.003619,210.0,679.0,504.0,506.0,1031.0,775.0,962.0,211.0,602.0,59.0,78.0,557.0,517.0,300.0,515.0,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Sevbel,L,1,8,0.003607,790.0,1097.0,1410.0,853.0,2151.0,1188.0,2202.0,305.0,1619.0,145.0,797.0,763.0,1587.0,492.0,1559.0,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subopercle,Sevbel,R,1,8,0.003615,241.0,1119.0,871.0,873.0,1615.0,1162.0,1647.0,343.0,1022.0,189.0,108.0,817.0,990.0,604.0,974.0,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supracleithrum,Acipenser baerii,L,1,36,0.003658,2473.0,602.0,2492.0,546.0,2543.0,657.0,2457.0,1335.0,2180.0,1144.0,1966.0,1291.0,1865.0,1318.0,1890.0,1235.0,1916.0,1152.0,1950.0,1072.0,1981.0,990.0,2007.0,907.0,2030.0,823.0,2050.0,739.0,2064.0,653.0,2064.0,566.0,2059.0,479.0,2052.0,393.0,2042.0,306.0,2030.0,220.0,2048.0,140.0,2400.0,1407.0,2445.0,1460.0,2435.0,1514.0,2382.0,1560.0,2329.0,1605.0,2278.0,1652.0,2215.0,1678.0,2146.0,1677.0,2079.0,1661.0,2012.0,1643.0,1971.0,1605.0,1973.0,1536.0,1994.0,1470.0,2017.0,1404.0,2031.0,1336.0
Supracleithrum,Acipenser baerii,R,1,36,0.003648,613.0,657.0,672.0,617.0,713.0,736.0,658.0,1326.0,345.0,1107.0,191.0,1280.0,105.0,1310.0,119.0,1222.0,141.0,1136.0,161.0,1049.0,175.0,961.0,190.0,873.0,197.0,784.0,205.0,695.0,200.0,606.0,183.0,518.0,162.0,432.0,146.0,344.0,135.0,256.0,137.0,166.0,175.0,86.0,637.0,1347.0,694.0,1391.0,669.0,1460.0,641.0,1527.0,601.0,1587.0,557.0,1645.0,501.0,1691.0,429.0,1695.0,356.0,1691.0,286.0,1672.0,247.0,1614.0,235.0,1543.0,246.0,1471.0,256.0,1399.0,234.0,1330.0
Supracleithrum,Acipenser gueldenstaedtii,L,1,36,0.003584,2331.0,366.0,2360.0,346.0,2390.0,410.0,2328.0,745.0,2184.0,638.0,2063.0,754.0,1981.0,796.0,2000.0,745.0,2019.0,694.0,2043.0,645.0,2055.0,592.0,2058.0,538.0,2052.0,484.0,2046.0,430.0,2041.0,376.0,2028.0,323.0,2014.0,271.0,2006.0,217.0,2001.0,163.0,1995.0,109.0,2018.0,61.0,2314.0,774.0,2323.0,821.0,2315.0,868.0,2318.0,916.0,2301.0,961.0,2269.0,996.0,2226.0,1017.0,2178.0,1023.0,2131.0,1019.0,2103.0,991.0,2082.0,949.0,2083.0,901.0,2085.0,853.0,2070.0,808.0,2074.0,760.0
Supracleithrum,Acipenser gueldenstaedtii,L,2,36,0.003649,2342.0,437.0,2367.0,438.0,2419.0,522.0,2353.0,843.0,2217.0,748.0,2115.0,831.0,2041.0,857.0,2050.0,806.0,2073.0,760.0,2100.0,716.0,2110.0,665.0,2117.0,614.0,2121.0,563.0,2117.0,511.0,2113.0,460.0,2107.0,408.0,2102.0,357.0,2096.0,306.0,2087.0,255.0,2092.0,203.0,2124.0,163.0,2332.0,863.0,2323.0,905.0,2325.0,947.0,2311.0,988.0,2287.0,1022.0,2253.0,1049.0,2211.0,1039.0,2171.0,1040.0,2133.0,1055.0,2104.0,1024.0,2077.0,1015.0,2084.0,973.0,2092.0,930.0,2099.0,887.0,2107.0,845.0
Supracleithrum,Acipenser gueldenstaedtii,L,3,36,0.003584,2492.0,470.0,2535.0,451.0,2570.0,520.0,2528.0,860.0,2351.0,745.0,2235.0,915.0,2114.0,961.0,2129.0,900.0,2147.0,840.0,2168.0,781.0,2187.0,722.0,2191.0,659.0,2179.0,598.0,2166.0,536.0,2152.0,475.0,2140.0,414.0,2128.0,352.0,2111.0,292.0,2093.0,232.0,2086.0,170.0,2117.0,116.0,2520.0,885.0,2526.0,943.0,2532.0,1001.0,2542.0,1058.0,2540.0,1113.0,2500.0,1152.0,2446.0,1175.0,2391.0,1193.0,2334.0,1207.0,2276.0,1212.0,2230.0,1182.0,2223.0,1130.0,2232.0,1072.0,2245.0,1016.0,2254.0,958.0
