bone,species,side,fish,n_lm,proc_dist,centroid,LM1_X,LM1_Y,LM1_Z,LM2_X,LM2_Y,LM2_Z,LM3_X,LM3_Y,LM3_Z,LM4_X,LM4_Y,LM4_Z,LM5_X,LM5_Y,LM5_Z,LM6_X,LM6_Y,LM6_Z,LM7_X,LM7_Y,LM7_Z,LM8_X,LM8_Y,LM8_Z,LM9_X,LM9_Y,LM9_Z,LM10_X,LM10_Y,LM10_Z,LM11_X,LM11_Y,LM11_Z,LM12_X,LM12_Y,LM12_Z
Clavicle,Acipenser baerii,L,1,12,0.19041201509421463,70.56423015515853,-0.035505754818937876,-0.10591085227793359,-0.11027116294291969,-0.14381661343855037,-0.05006100851103905,-0.20627473004567978,-0.5329586378686105,-0.16332031277294218,0.2097525360106899,-0.0776691838414174,-0.12700204841196922,0.13125300344057314,0.2736938192679316,-0.07430103478951709,0.06010063992687901,0.20049823225633814,-0.07151536071528213,-0.041673089964105285,0.2896608095971833,-0.02154818599992379,-0.13858450338088577,0.10276239644644741,0.004671057452657585,-0.0284963842051089,0.18143208150261886,0.16116080233432567,0.11712214229545727,0.014083745454239792,0.17711427614769648,0.0985191915035902,-0.12451075566142446,0.28090121502450965,0.0867131085827973,-0.14767013889581854,-0.01018854748058235,-0.17816075122128755
Clavicle,Acipenser baerii,R,1,12,0.1835461343530287,75.35399835796058,-0.02448621957490416,-0.08082231542214859,-0.09493280773301703,-0.1756939266283299,-0.02575485382906175,-0.21022200537137173,-0.5548595066783366,-0.18845953891340791,0.17671313593332738,-0.02078376974356474,-0.10957271138068264,0.12269012827785639,0.30068431472215473,-0.03924909090711399,0.03576639144718724,0.21751648610259824,-0.05447309978087034,-0.0345340763495378,0.26479800371561285,-0.12472632831359826,-0.11538703556642149,0.09957916602962895,0.0103481477489107,-0.03562556658991119,0.17341891840232954,0.1489812120402297,0.11565058463669538,0.008696719983511788,0.17409946768395662,0.0972768604701089,-0.1403264355712774,0.287467349094662,0.07004807975351238,-0.14854375075942333,0.0021617619791245695,-0.12744368890842814
Clavicle,Acipenser gueldenstaedtii,L,1,12,0.09511330036229766,48.65803897291848,-0.03662944482606947,-0.1220546359411904,-0.11605849532285213,-0.2186911231289956,-0.008868405136440601,-0.17154081456271925,-0.4606506651667002,-0.16795528560606826,0.14287762089734204,-0.06686707528764275,-0.12179402254750993,0.14018405156251285,0.3207186013936908,-0.08606196122869056,0.042588003406777736,0.21134381468720417,-0.08070155400651524,-0.05063061081678432,0.2644740244797326,-0.03538551391311911,-0.08514267211464806,0.13648007095519957,-0.02834083644014288,-0.015590134609759719,0.20804302296648403,0.12053055511321323,0.10511740836961372,0.008814175116609875,0.20804581033382236,0.09389816496685892,-0.20207217123068705,0.33767154922620035,0.06258338308969488,-0.16496322995882542,-0.015085699853559117,-0.14828590486603688
Clavicle,Acipenser gueldenstaedtii,L,2,12,0.12893569219071813,43.08591005397965,-0.03646610894393193,-0.1214598980428988,-0.1336912666128661,-0.172732910373667,-0.008491865470310372,-0.16335957927174316,-0.44531646606178293,-0.14874899623414406,0.1533254378155203,-0.07753057373742729,-0.12953331446167166,0.1305427305071141,0.32358030347867994,-0.09128559114112345,0.02553031181059049,0.2360390184871044,-0.09627672830495004,-0.056029843325887375,0.2606174289714099,-0.07435827595317972,-0.07939748453796222,0.13880065790047758,-0.017406494730004607,0.005742897120187408,0.18183332705576272,0.13955301423015776,0.09023383570269908,0.0047047830359148585,0.1786449293058772,0.08297497140906317,-0.26553333527349693,0.36029787370863015,0.07486999305138854,-0.14799612453904343,0.009065347093617821,-0.13074200366810432
Clavicle,Acipenser gueldenstaedtii,L,3,12,0.12342864757363975,53.10441426561055,-0.034740618337718736,-0.10816332462497542,-0.11592044465659712,-0.18374239736693343,-0.014049032006323315,-0.17825030670239486,-0.47104792795751643,-0.14188378956871772,0.15023180797869917,-0.04813459531561222,-0.11138535947082305,0.1481014034715223,0.3007896821157882,-0.0741354434728567,0.025026956953725074,0.2323341236958287,-0.0902626659173371,-0.037854308503023903,0.27341655015477917,-0.06183239737464134,-0.09000533711814557,0.1263224948440276,-0.0540111615672485,-0.04361315025260513,0.18135887212329413,0.14293075437114464,0.1001216477649507,0.018631596426455312,0.19864592368583192,0.12042043820316428,-0.23502853540426336,0.32759195622745346,0.08327229061918001,-0.160159244978129,-0.013445460281506965,-0.16153099775847504
Clavicle,Acipenser gueldenstaedtii,L,4,12,0.07003300764875767,41.91237529283484,-0.0166848144781675,-0.10644354859442821,-0.11055077077619403,-0.21053708887663578,-0.011320160895565179,-0.1627088239481468,-0.4660595732460412,-0.1646765175512371,0.13992861327294695,-0.07088050668707434,-0.125147331306745,0.1276064953727933,0.32984408500805745,-0.09593003200266761,0.045439622303376316,0.21323589876243343,-0.09203120290988417,-0.04248104375598404,0.2694812730368482,-0.055843394521161334,-0.10315190939962798,0.1272109981483742,0.004513491720891602,0.0059469737088319015,0.21160793937150763,0.13866682718931178,0.0950350473009216,0.016525372550402217,0.18033972196146542,0.08430729761907294,-0.22285357722101656,0.32822485081782454,0.059634468585215115,-0.18089000636868707,-0.00035270390780475194,-0.13900597028320544
Clavicle,Acipenser gueldenstaedtii,L,5,12,0.14513099267099802,74.8030761608653,-0.017354506316961005,-0.12606507444457155,-0.10528488835185956,-0.20285684919197483,-0.045112469310783575,-0.15867741398790816,-0.5370724931870153,-0.12672479946147266,0.13655989290944062,-0.037883130844654604,-0.0863528383938834,0.13865060089862663,0.3346818127285966,-0.07650434002360253,0.02296409802179649,0.24835861058141617,-0.06187598164182696,-0.06532498038218011,0.27611984027240005,-0.0057748493095256415,-0.0961821602310577,0.11882328718630356,-0.008536627250201712,-0.029275646142186043,0.1867594828041596,0.11135023996073608,0.12514637776850443,-0.01987969059629638,0.1377933960355977,0.11188802760200778,-0.15327399273939624,0.2988730225958872,0.045618259858326994,-0.19642237069657711,-0.01106967875635301,-0.12608216796351124
Clavicle,Acipenser gueldenstaedtii,L,6,12,0.17856388406357399,81.02770188959822,-0.0448343113379374,-0.07226986291897701,-0.11060946142681585,-0.15393336229876692,-0.0077992621697913584,-0.16215739946662544,-0.4980969286894497,-0.1886066507828528,0.1387870800955734,-0.0688484283148966,-0.13715047269752287,0.14061914222800354,0.35191854884450957,-0.11224301440086892,0.0006773416334705347,0.2291792306087287,-0.09139279576155654,-0.06665427511094703,0.2543893025281448,-0.052873672786427045,-0.10509435980043016,0.10756073692345068,-0.0255887035623326,0.013619418783276906,0.16756593395565075,0.14867749619474172,0.10604176945595106,0.011322783568959983,0.16516659125064925,0.10358562019219522,-0.22731272641976932,0.34707229679140333,-0.010428351939240613,-0.1289107793686248,0.02700805084353483,-0.0483865246444119
Clavicle,Acipenser gueldenstaedtii,L,8,12,0.14307262555304825,124.0772824358983,-0.028342684835995273,-0.08916593813062942,-0.13331552909725533,-0.24425682848123673,-0.011410081783573068,-0.16326695027960983,-0.41805636573704424,-0.18686931179082203,0.1582884091512822,-0.06397873192165549,-0.16213867788254663,0.12153609180644186,0.31670258208543434,-0.09375154263952064,0.04958475258728029,0.20413958615621794,-0.10194313894361505,-0.04400807530818558,0.25149989902725206,-0.05495027682751807,-0.08305812256443369,0.12723286682554005,-0.029154218042482073,-0.019307326213499905,0.1710814840352728,0.1807331446780658,0.13044526721040794,-0.0012044667271658613,0.17806857007271998,0.10034034259142784,-0.16159541067564684,0.39128137769671884,0.04206389163951094,-0.1532219297509728,-0.02069990640679766,-0.15930275152336673
Clavicle,Acipenser gueldenstaedtii,R,1,12,0.10342267915903544,48.696234268667894,-0.05578237489022041,-0.12792918887104482,-0.10190462084105116,-0.2172172644828671,-0.011472777736414743,-0.18347913583200307,-0.4682933998179365,-0.17827039224062338,0.15092185433709943,-0.07994650029269863,-0.11627675343121101,0.11764507758154642,0.3207140341497546,-0.06989301733280456,0.048675570196144595,0.2178235239007918,-0.06381789822530233,-0.04301605275026568,0.2682787708561534,-0.03584392086273181,-0.09314424651903783,0.12239254362938023,-0.011945721442014598,-0.008962248102767618,0.22098200685881855,0.10871414804841839,0.10647630589077184,0.02511250866113096,0.19488858498921086,0.1008443548420686,-0.1790008023808464,0.33381912930954644,0.05575821346373856,-0.17506304619146074,-0.02197219220502846,-0.14981507226624413
